seconds_offset,service,cpu_pct,latency_ms
10,inventory-api,46.4,70.5
20,inventory-api,42.8,74.5
30,inventory-api,47.4,83.5
40,inventory-api,48.9,71.7
50,inventory-api,44.2,70.6
60,inventory-api,42.2,80.1
70,inventory-api,40.3,74.0
80,inventory-api,46.5,80.9
90,inventory-api,42.2,81.8
100,inventory-api,48.1,70.1
110,inventory-api,48.1,84.0
120,inventory-api,43.4,73.1
130,inventory-api,49.6,76.7
140,inventory-api,40.9,71.9
150,inventory-api,48.5,82.1
160,inventory-api,48.1,84.6
170,inventory-api,45.4,89.5
180,inventory-api,43.8,81.0
190,inventory-api,48.3,82.4
200,inventory-api,48.6,81.5
210,inventory-api,47.0,70.9
220,inventory-api,42.3,75.8
230,inventory-api,40.8,74.7
240,inventory-api,41.0,75.6
250,inventory-api,46.4,77.3
260,inventory-api,43.7,74.2
270,inventory-api,42.7,88.7
280,inventory-api,46.5,82.2
290,inventory-api,41.7,84.6
300,inventory-api,41.6,77.6
310,inventory-api,49.9,82.8
320,inventory-api,45.6,83.7
330,inventory-api,48.4,85.5
340,inventory-api,42.3,70.6
350,inventory-api,43.2,75.4
360,inventory-api,42.1,88.9
370,inventory-api,48.8,76.3
380,inventory-api,46.6,77.9
390,inventory-api,49.1,79.2
400,inventory-api,42.6,74.9
410,inventory-api,45.4,77.6
420,inventory-api,47.5,87.0
430,inventory-api,48.4,83.2
440,inventory-api,54.0,89.1
450,inventory-api,50.5,87.5
460,inventory-api,52.7,96.3
470,inventory-api,58.8,97.2
480,inventory-api,56.4,99.8
490,inventory-api,64.0,104.3
500,inventory-api,65.8,110.6
510,inventory-api,62.1,112.2
520,inventory-api,68.1,113.4
530,inventory-api,67.6,117.4
540,inventory-api,68.7,118.3
550,inventory-api,72.7,126.5
560,inventory-api,77.3,122.6
570,inventory-api,77.0,124.8
580,inventory-api,81.5,134.7
590,inventory-api,79.8,135.4
600,inventory-api,83.7,133.5
