resource_id,cpu_pct,mem_pct
web-api-prod,33.7,26.3
web-api-prod,12.7,25.5
web-api-prod,10.1,43.8
web-api-prod,12.6,26.3
web-api-prod,36.8,29.2
web-api-prod,10.6,27.0
web-api-prod,10.4,28.6
web-api-prod,12.9,30.8
web-api-prod,12.2,28.7
web-api-prod,12.3,25.3
web-api-prod,11.2,26.4
web-api-prod,11.1,27.2
web-api-prod,10.8,30.6
web-api-prod,12.4,29.4
web-api-prod,11.5,28.8
web-api-prod,12.7,29.7
web-api-prod,10.1,26.6
web-api-prod,13.8,26.9
web-api-prod,11.6,27.8
web-api-prod,11.0,26.6
web-api-prod,13.6,26.3
web-api-prod,12.0,25.3
web-api-prod,12.5,27.5
web-api-prod,11.5,28.2
web-api-prod,36.3,29.1
web-api-prod,11.1,25.7
web-api-prod,11.8,30.3
web-api-prod,12.0,30.5
web-api-prod,11.2,28.7
web-api-prod,13.1,29.7
web-api-prod,10.0,25.1
web-api-prod,13.5,26.8
web-api-prod,13.5,25.5
web-api-prod,10.3,29.6
web-api-prod,11.9,26.6
web-api-prod,11.7,28.2
web-api-prod,10.8,31.0
web-api-prod,11.8,25.7
web-api-prod,11.4,26.4
web-api-prod,10.3,26.4
web-api-prod,13.4,26.4
web-api-prod,10.9,30.6
web-api-prod,11.9,29.8
web-api-prod,10.4,27.5
web-api-prod,12.9,30.9
web-api-prod,11.6,30.2
web-api-prod,10.8,27.5
web-api-prod,11.0,27.7
staging-worker-02,1.2,7.0
staging-worker-02,2.9,6.1
staging-worker-02,0.9,3.4
staging-worker-02,0.5,2.6
staging-worker-02,0.8,6.7
staging-worker-02,1.2,1.9
staging-worker-02,2.9,4.3
staging-worker-02,0,4.0
staging-worker-02,0,1.5
staging-worker-02,1.4,2.4
staging-worker-02,2.6,4.6
staging-worker-02,0.7,4.1
staging-worker-02,0,2.4
staging-worker-02,1.7,2.9
staging-worker-02,0,7.0
staging-worker-02,0,2.6
staging-worker-02,2.5,3.2
staging-worker-02,2.3,4.7
staging-worker-02,1.6,5.9
staging-worker-02,1.7,1.8
staging-worker-02,0,2.6
staging-worker-02,1.9,4.8
staging-worker-02,1.0,6.1
staging-worker-02,0.7,1.0
staging-worker-02,1.5,5.4
staging-worker-02,0.7,1.5
staging-worker-02,2.6,6.0
staging-worker-02,0,2.8
staging-worker-02,2.2,6.4
staging-worker-02,0,5.7
staging-worker-02,0.6,1.9
staging-worker-02,2.5,5.9
staging-worker-02,0,3.0
staging-worker-02,2.2,5.9
staging-worker-02,2.1,6.2
staging-worker-02,0,3.8
staging-worker-02,2.2,1.1
staging-worker-02,0.3,6.8
staging-worker-02,1.6,6.9
staging-worker-02,2.8,6.8
staging-worker-02,2.9,1.7
staging-worker-02,1.9,4.6
staging-worker-02,0.5,2.5
staging-worker-02,0,4.2
staging-worker-02,2.0,3.2
staging-worker-02,1.7,2.9
staging-worker-02,1.9,2.9
staging-worker-02,0.6,1.8
checkout-service,36.8,57.4
checkout-service,34.2,52.0
checkout-service,34.7,55.9
checkout-service,34.8,54.8
checkout-service,85.5,55.1
checkout-service,34.3,56.5
checkout-service,85.1,53.5
checkout-service,87.5,55.8
checkout-service,35.8,53.5
checkout-service,33.0,56.6
checkout-service,90.7,55.1
checkout-service,34.0,54.7
checkout-service,35.7,55.6
checkout-service,36.6,56.3
checkout-service,36.3,57.4
checkout-service,34.9,53.5
checkout-service,36.1,55.8
checkout-service,33.3,53.6
checkout-service,86.4,56.2
checkout-service,33.3,55.3
checkout-service,33.8,57.4
checkout-service,35.8,56.6
checkout-service,33.0,56.5
checkout-service,36.8,56.5
checkout-service,35.4,53.3
checkout-service,33.1,56.1
checkout-service,33.7,52.8
checkout-service,33.1,78.6
checkout-service,33.5,52.3
checkout-service,33.8,56.6
checkout-service,36.0,53.5
checkout-service,33.1,58.0
checkout-service,35.6,55.9
checkout-service,85.1,52.9
checkout-service,35.7,53.3
checkout-service,88.6,56.5
checkout-service,36.3,77.2
checkout-service,35.7,54.4
checkout-service,33.3,55.8
checkout-service,36.1,55.6
checkout-service,36.9,54.1
checkout-service,34.5,54.0
checkout-service,90.8,55.8
checkout-service,35.8,56.4
checkout-service,34.1,55.2
checkout-service,34.7,53.6
checkout-service,90.3,53.5
checkout-service,35.4,52.2
