date,total_requests,failed_requests,slow_requests
2026-07-22,87296,9,381
2026-07-23,94628,13,332
2026-07-24,115741,14,591
2026-07-25,81952,10,341
2026-07-26,119453,12,477
2026-07-27,115713,26,607
2026-07-28,98231,33,297
2026-07-29,90463,27,425
2026-07-30,90189,14,614
2026-07-31,86698,11,302
2026-08-01,102541,28,721
2026-08-02,110108,28,866
2026-08-03,104807,1784,6048
2026-08-04,103700,1282,4620
2026-08-05,98965,39,720
2026-08-06,86619,18,456
2026-08-07,103909,15,496
2026-08-08,97496,30,625
2026-08-09,84679,23,326
2026-08-10,96043,14,470
2026-08-11,116500,19,538
2026-08-12,83665,14,264
2026-08-13,100673,22,335
2026-08-14,117170,42,535
2026-08-15,112717,24,853
2026-08-16,110071,15,407
2026-08-17,116789,30,786
2026-08-18,108077,39,540
2026-08-19,94373,37,348
2026-08-20,112343,14,363
